序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
63,100,TCL科技,TCL科技集团股份有限公司,惠州市,惠城区,1117.27亿,35.45亿,35379,2004-01-30,--,,电视机,--,以半导体显示技术及材料业务为主，产业金融和投资业务为辅
64,150,宜华健康,宜华健康医疗股份有限公司,汕头市,澄海区,21.16亿,1.84亿,11760,2000-08-07,--,,医疗服务,--,健康医疗服务
65,151,中成股份,中成进出口股份有限公司,北京市,丰台区,22.29亿,8843.59万,352,2000-09-06,--,,贸易,--,成套设备与技术进出口、一般贸易和境外经营。
66,153,丰原药业,安徽丰原药业股份有限公司,芜湖市,无为县,25.78亿,6534.81万,4668,2000-09-20,--,,化学制剂,--,生物药、中药、化学合成药及其制剂等方面的研究、开发、生产和销售。
67,155,川能动力,四川省新能源动力股份有限公司,成都市,青白江区,65.09亿,3.82亿,229,2000-09-26,--,,氮肥,--,"风力发电和光伏发电,以及新能源综合服务业务。"
68,156,华数传媒,华数传媒控股股份有限公司,杭州市,滨江区,32.09亿,6.41亿,4998,2000-09-06,--,,有线电视,--,杭州地区有线电视网络运营和面向全国的互动电视、手机电视、互联网电视、互联网视频、广告等传媒信息服务业
69,157,中联重科,中联重科股份有限公司,长沙市,岳麓区,232.73亿,12.48亿,19016,2000-10-12,--,,工程机械,--,混凝土机械、起重机械、路面机械、环卫机械等产品及配套件的开发、生产、销售和租赁。
70,158,常山北明,石家庄常山北明科技股份有限公司,石家庄市,长安区,112.54亿,3.55亿,5084,2000-07-24,--,,棉纺,--,软件及信息技术服务和纺织两大板块
71,159,国际实业,新疆国际实业股份有限公司,乌鲁木齐市,新市区,3.56亿,-7113.14万,295,2000-09-26,--,,石油天然气贸易,--,油品批发、零售、仓储、运输；能源贸易；房地产开发与销售。
72,166,申万宏源,申万宏源集团股份有限公司,乌鲁木齐市,天山区,133.68亿,47.26亿,13022,2015-01-26,--,,证券,--,金融投资、股权投资等
73,301,东方盛虹,江苏东方盛虹股份有限公司,苏州市,吴江区,162.99亿,14.29亿,15931,2000-05-29,--,,火电,--,民用涤纶长丝的研发、生产和销售以及PTA、热电的生产、销售等。
74,333,美的集团,美的集团股份有限公司,佛山市,顺德区,2419.19亿,186.11亿,134897,2013-09-18,--,,空调、小家电,--,以家电产业为主，涉足电机、物流等领域，旗下分为四大业务板块，分别为大家电、小家电、电机及物流
75,338,潍柴动力,潍柴动力股份有限公司,潍坊市,奎文区,1515.69亿,91.78亿,43822,2007-04-30,--,,汽车零部件,--,研究、生产及销售发动机及其零部件、重型汽车、重型汽车车桥、变速箱及其他汽车零部件等业务
76,400,许继电气,许继电气股份有限公司,许昌市,魏都区,103.29亿,6.82亿,5383,1997-04-18,--,,电气自控设备,--,从事电力系统二次设备和一次设备的研制、销售
77,401,冀东水泥,唐山冀东水泥股份有限公司,唐山市,丰润区,251.68亿,9.40亿,24153,1996-06-14,--,,水泥,--,生产和销售水泥、熟料以及石灰石开采和销售
78,402,金融街,金融街控股股份有限公司,北京市,西城区,255.19亿,41.03亿,3867,1996-06-26,--,,房地产开发,--,房地产开发和经营
79,403,双林生物,南方双林生物制药股份有限公司,太原市,小店区,6.85亿,1524.47万,875,1996-06-28,--,,生物医药,--,生产和销售血液制品
80,404,长虹华意,长虹华意压缩机股份有限公司,景德镇市,昌江区,81.14亿,2.12亿,7802,1996-06-19,--,,压缩机,--,从事无氟压缩机的生产与销售业务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
81,407,胜利股份,山东胜利股份有限公司,济南市,历下区,38.28亿,1.23亿,2121,1996-07-03,--,,燃气,--,天然气、生物、农化、塑胶等产业组成
